"","Município","UF","Índice de Acesso a Capital","Rank Acesso a Capital","Índice de Ambiente Regulatório","Rank Ambiente Regulatório","Índice de Capital Humano","Rank Capital Humano","Índice de Cultura","Rank Cultura","Índice de Infraestrutura","Rank Infraestrutura","Índice de Inovação","Rank Inovação","Índice de Mercado","Rank Mercado","Índice Cidades Empreendendoras 2023","Rank ICE 23"
"83","Paulista","PE",5.38263981882207,95,6.09830315378584,48,4.79131495661665,93,5.8435389745255,62,5.644030135,65,4.76369627692647,91,5.5577003359102,62,5.32145298228908,80
"84","Praia Grande","SP",5.5924735918252,67,7.56693586800758,8,6.90556556699702,21,5.64540920520856,75,5.786600364,57,4.03418420285721,101,4.94931994453659,88,5.89380905731123,56
"85","Cascavel","PR",5.96397932466523,29,7.32981510181391,12,6.49805337691318,33,5.98103566484602,54,6.381236779,28,6.53077440208977,29,5.0000191921621,87,6.43367748482387,31
"86","São José dos Pinhais","PR",5.55626082686135,74,7.42366200696647,10,5.29028156155861,78,5.7936024875961,67,6.256332361,37,6.86442840864154,21,7.09809124254068,12,6.66098058285665,23
"87","Guarujá","SP",5.55997397592639,72,6.31766877404152,35,5.49737138373053,70,5.1884487958414,87,7.576837194,6,5.78139802998748,55,5.56478011143287,60,5.37983791482282,77
"88","Taubaté","SP",5.69499490070293,53,4.92774286005695,90,6.67696932013798,27,5.7165368865893,72,6.138199942,42,5.82503313818995,53,6.96097832396792,16,5.66618805446635,69
"89","Palmas","TO",5.97292719835484,28,4.76568098984156,94,6.42370317555708,36,8.27508955415118,3,4.93235838,89,5.62918909663762,61,6.44512733356678,34,6.86080689627285,15
"90","Limeira","SP",5.76800524952957,46,5.73462164935282,61,7.29324274815111,7,5.12969685830266,88,7.980646904,2,8.05661822699757,2,6.94763988815363,18,6.15662662985631,42
"91","Camaçari","BA",5.47945910342319,83,5.36593341300864,70,5.02235900903368,85,5.69949370170749,73,4.760020249,91,6.01919280860533,45,7.40997164517636,8,5.66172051959911,70
"92","Santarém","PA",5.51123805442552,80,7.14351309392098,15,6.0290530820266,54,6.81806823199604,16,3.890923628,101,4.43710008890236,99,4.64905254693811,95,6.2001037794529,40
"93","Petrópolis","RJ",5.70468514596315,52,6.30838381575392,36,5.54625409569875,66,5.93900677159344,58,6.309852457,33,5.22364513958261,78,5.55427314805692,63,5.72122874815437,64
"94","Mossoró","RN",5.63579377867949,62,4.98188236555843,89,6.42219888686725,37,6.63736324265628,22,5.823680442,55,5.47443335507874,70,4.45628946614982,97,5.4736431726583,76
"95","Suzano","SP",5.54228271279393,76,6.33521059466754,34,6.30432248828494,39,5.47283599249172,83,7.226814514,14,5.28469551761927,75,6.55189457322309,32,5.81762399450854,61
"96","Taboão da Serra","SP",5.5346078737269,78,5.2224677950348,78,5.82463193681558,60,4.40240545741742,95,6.344772445,32,6.02876855271906,44,5.8448904692725,52,4.66031366914882,92
"97","Várzea Grande","MT",5.50388766073382,82,5.57212963846849,68,5.2322462307443,80,5.94196676705555,57,5.778529757,58,5.16284112045586,79,5.56300431157051,61,5.32980807266845,78
"98","Sumaré","SP",5.51065653766091,81,5.22582725807335,77,4.20471163367008,97,4.74758155223422,94,5.921248656,50,5.51986053241993,68,6.38063113460968,38,4.63838494352295,93
"99","Marabá","PA",5.45408114753087,87,6.90138117903617,17,4.79579768511276,92,6.37893640744556,32,4.095503156,100,4.82038358684136,89,7.06586411483824,13,6.31300349608086,34
"100","Gravataí","RS",5.4580402482807,86,6.2037580939891,42,5.22646716228218,81,5.89393737939113,60,5.854320817,54,5.73310279015228,56,6.30631260273605,40,5.81912769920233,60
"101","Santa Maria","RS",5.90754222039732,34,5.72115870474603,63,7.65017208062455,3,6.01616987985459,50,5.960283968,48,7.31292714926519,13,5.59587583688623,58,6.25548397229869,35
